2022-04-27 19:31:38 status half-installed libsepol1:armhf 2.7-1
2022-04-27 19:31:38 status unpacked libsepol1:armhf 2.7-1
2022-04-27 19:31:38 status unpacked libsepol1:armhf 2.7-1
2022-04-27 19:31:38 install libsmartcols1:armhf <none> 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 status half-installed libsmartcols1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 install libss2:armhf <none> 1.44.1-1
2022-04-27 19:31:38 status half-installed libss2:armhf 1.44.1-1
2022-04-27 19:31:38 status unpacked libss2:armhf 1.44.1-1
2022-04-27 19:31:38 status unpacked libss2:armhf 1.44.1-1
2022-04-27 19:31:38 install libsystemd0:armhf <none> 237-3ubuntu10
2022-04-27 19:31:38 status half-installed libsystemd0:armhf 237-3ubuntu10
2022-04-27 19:31:38 status unpacked libsystemd0:armhf 237-3ubuntu10
2022-04-27 19:31:38 status unpacked libsystemd0:armhf 237-3ubuntu10
2022-04-27 19:31:38 install libtinfo5:armhf <none> 6.1-1ubuntu1
2022-04-27 19:31:38 status half-installed libtinfo5:armhf 6.1-1ubuntu1
2022-04-27 19:31:38 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2022-04-27 19:31:38 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2022-04-27 19:31:38 install libudev1:armhf <none> 237-3ubuntu10
2022-04-27 19:31:38 status half-installed libudev1:armhf 237-3ubuntu10
2022-04-27 19:31:38 status unpacked libudev1:armhf 237-3ubuntu10
2022-04-27 19:31:38 status unpacked libudev1:armhf 237-3ubuntu10
2022-04-27 19:31:38 install libuuid1:armhf <none> 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 status half-installed libuuid1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:38 install libzstd1:armhf <none> 1.3.3+dfsg-2ubuntu1
2022-04-27 19:31:38 status half-installed libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2022-04-27 19:31:38 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2022-04-27 19:31:38 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2022-04-27 19:31:38 install login:armhf <none> 1:4.5-1ubuntu1
2022-04-27 19:31:38 status half-installed login:armhf 1:4.5-1ubuntu1
2022-04-27 19:31:39 status unpacked login:armhf 1:4.5-1ubuntu1
2022-04-27 19:31:39 status unpacked login:armhf 1:4.5-1ubuntu1
2022-04-27 19:31:39 install lsb-base:all <none> 9.20170808ubuntu1
2022-04-27 19:31:39 status half-installed lsb-base:all 9.20170808ubuntu1
2022-04-27 19:31:39 status unpacked lsb-base:all 9.20170808ubuntu1
2022-04-27 19:31:39 status unpacked lsb-base:all 9.20170808ubuntu1
2022-04-27 19:31:39 upgrade mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2022-04-27 19:31:39 status half-configured mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:39 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:39 status half-installed mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:39 status half-installed mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:39 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:39 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:39 install mount:armhf <none> 2.31.1-0.4ubuntu3
2022-04-27 19:31:39 status half-installed mount:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:39 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:39 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:39 install ncurses-base:all <none> 6.1-1ubuntu1
2022-04-27 19:31:39 status half-installed ncurses-base:all 6.1-1ubuntu1
2022-04-27 19:31:39 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-04-27 19:31:39 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-04-27 19:31:39 install ncurses-bin:armhf <none> 6.1-1ubuntu1
2022-04-27 19:31:39 status half-installed ncurses-bin:armhf 6.1-1ubuntu1
2022-04-27 19:31:39 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2022-04-27 19:31:39 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2022-04-27 19:31:39 install passwd:armhf <none> 1:4.5-1ubuntu1
2022-04-27 19:31:39 status half-installed passwd:armhf 1:4.5-1ubuntu1
2022-04-27 19:31:39 status unpacked passwd:armhf 1:4.5-1ubuntu1
2022-04-27 19:31:39 status unpacked passwd:armhf 1:4.5-1ubuntu1
2022-04-27 19:31:39 upgrade perl-base:armhf 5.26.1-6 5.26.1-6
2022-04-27 19:31:39 status half-configured perl-base:armhf 5.26.1-6
2022-04-27 19:31:39 status unpacked perl-base:armhf 5.26.1-6
2022-04-27 19:31:39 status half-installed perl-base:armhf 5.26.1-6
2022-04-27 19:31:40 status half-installed perl-base:armhf 5.26.1-6
2022-04-27 19:31:40 status unpacked perl-base:armhf 5.26.1-6
2022-04-27 19:31:40 status unpacked perl-base:armhf 5.26.1-6
2022-04-27 19:31:40 install procps:armhf <none> 2:3.3.12-3ubuntu1
2022-04-27 19:31:40 status half-installed procps:armhf 2:3.3.12-3ubuntu1
2022-04-27 19:31:40 status unpacked procps:armhf 2:3.3.12-3ubuntu1
2022-04-27 19:31:40 status unpacked procps:armhf 2:3.3.12-3ubuntu1
2022-04-27 19:31:40 install sed:armhf <none> 4.4-2
2022-04-27 19:31:40 status half-installed sed:armhf 4.4-2
2022-04-27 19:31:40 status unpacked sed:armhf 4.4-2
2022-04-27 19:31:40 status unpacked sed:armhf 4.4-2
