2022-04-28 00:03:23 status half-installed libudev1:amd64 237-3ubuntu10
2022-04-28 00:03:23 status unpacked libudev1:amd64 237-3ubuntu10
2022-04-28 00:03:23 status unpacked libudev1:amd64 237-3ubuntu10
2022-04-28 00:03:23 install libuuid1:amd64 <none> 2.31.1-0.4ubuntu3
2022-04-28 00:03:23 status half-installed libuuid1:amd64 2.31.1-0.4ubuntu3
2022-04-28 00:03:23 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2022-04-28 00:03:23 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2022-04-28 00:03:23 install libzstd1:amd64 <none> 1.3.3+dfsg-2ubuntu1
2022-04-28 00:03:23 status half-installed libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2022-04-28 00:03:24 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2022-04-28 00:03:24 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2022-04-28 00:03:24 install login:amd64 <none> 1:4.5-1ubuntu1
2022-04-28 00:03:24 status half-installed login:amd64 1:4.5-1ubuntu1
2022-04-28 00:03:24 status unpacked login:amd64 1:4.5-1ubuntu1
2022-04-28 00:03:24 status unpacked login:amd64 1:4.5-1ubuntu1
2022-04-28 00:03:24 install lsb-base:all <none> 9.20170808ubuntu1
2022-04-28 00:03:24 status half-installed lsb-base:all 9.20170808ubuntu1
2022-04-28 00:03:24 status unpacked lsb-base:all 9.20170808ubuntu1
2022-04-28 00:03:24 status unpacked lsb-base:all 9.20170808ubuntu1
2022-04-28 00:03:24 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2022-04-28 00:03:24 status half-configured mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:24 status unpacked mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:24 status half-installed mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:24 status half-installed mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:24 status unpacked mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:24 status unpacked mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:24 install mount:amd64 <none> 2.31.1-0.4ubuntu3
2022-04-28 00:03:24 status half-installed mount:amd64 2.31.1-0.4ubuntu3
2022-04-28 00:03:24 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2022-04-28 00:03:24 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2022-04-28 00:03:24 install ncurses-base:all <none> 6.1-1ubuntu1
2022-04-28 00:03:24 status half-installed ncurses-base:all 6.1-1ubuntu1
2022-04-28 00:03:24 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-04-28 00:03:24 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-04-28 00:03:24 install ncurses-bin:amd64 <none> 6.1-1ubuntu1
2022-04-28 00:03:24 status half-installed ncurses-bin:amd64 6.1-1ubuntu1
2022-04-28 00:03:24 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2022-04-28 00:03:24 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2022-04-28 00:03:24 install passwd:amd64 <none> 1:4.5-1ubuntu1
2022-04-28 00:03:24 status half-installed passwd:amd64 1:4.5-1ubuntu1
2022-04-28 00:03:24 status unpacked passwd:amd64 1:4.5-1ubuntu1
2022-04-28 00:03:24 status unpacked passwd:amd64 1:4.5-1ubuntu1
2022-04-28 00:03:24 upgrade perl-base:amd64 5.26.1-6 5.26.1-6
2022-04-28 00:03:24 status half-configured perl-base:amd64 5.26.1-6
2022-04-28 00:03:24 status unpacked perl-base:amd64 5.26.1-6
2022-04-28 00:03:24 status half-installed perl-base:amd64 5.26.1-6
2022-04-28 00:03:24 status half-installed perl-base:amd64 5.26.1-6
2022-04-28 00:03:24 status unpacked perl-base:amd64 5.26.1-6
2022-04-28 00:03:24 status unpacked perl-base:amd64 5.26.1-6
2022-04-28 00:03:24 install procps:amd64 <none> 2:3.3.12-3ubuntu1
2022-04-28 00:03:24 status half-installed procps:amd64 2:3.3.12-3ubuntu1
2022-04-28 00:03:24 status unpacked procps:amd64 2:3.3.12-3ubuntu1
2022-04-28 00:03:24 status unpacked procps:amd64 2:3.3.12-3ubuntu1
